date,spread_filter,regime,C,G,M,Y,iv_rmse,max_iv_err,de_loss,lbfgs_loss,de_nfev,lbfgs_nfev,total_time_sec,n_quotes,S0,seed,de_maxiter,de_popsize
2020-01-15,05,low-vol,0.048815,2.236036,80.000000,1.088636,0.024735,0.097981,0.006035,0.000729,9420,235,254.558834,224,3293.117908,0,300,15
2020-03-18,05,crisis,0.543129,0.100000,27.794744,1.050000,0.071877,0.170995,0.002689,0.002167,11340,170,119.771734,113,2350.135271,0,300,15
2020-03-18,15,crisis,0.546163,0.100000,6.650080,1.050000,0.110543,0.465311,0.010915,0.009525,10500,130,274.899665,243,2364.310348,0,300,15
2021-09-15,05,recovery,0.096545,2.594096,80.000000,1.050000,0.019693,0.080904,0.003879,0.000498,9360,265,261.108832,575,4486.494306,0,300,15
